vehicle_category,vehicle_type,engine_cc,cylinders,horsepower,weight_kg,transmission,fuel_type,cooling_system,daily_distance_km,daily_income,fuel_price_per_liter,year,fuel_efficiency_kmpl,label
Roda2,Matic,128.6,1,12.4,106.6,CVT,Bensin,Air-cooled,78.9,275803.0,12062.0,2015,43.16,Hemat
Roda2,Sport,159.6,2,17.5,126.1,Manual,Bensin,Liquid-cooled,32.9,210249.0,10008.0,2020,33.12,Hemat
Roda2,Matic,118.1,1,10.2,98.2,CVT,Bensin,Air-cooled,35.3,86413.0,11296.0,2019,54.98,Hemat
Roda2,Sport,193.8,1,23.2,144.3,Manual,Bensin,Liquid-cooled,58.7,153309.0,10249.0,2015,28.0,Boros
Roda4,City Car,1393.3,4,101.0,1034.5,Manual,Bensin,Liquid-cooled,70.4,135464.0,10069.0,2020,13.0,Boros
Roda2,Sport,233.0,2,28.2,158.9,Manual,Bensin,Liquid-cooled,65.5,225789.0,10103.0,2020,28.0,Boros
Roda2,Matic,121.9,1,9.5,101.8,CVT,Bensin,Liquid-cooled,22.1,84875.0,11097.0,2021,52.74,Hemat
Roda2,Matic,143.3,1,12.2,110.9,CVT,Bensin,Air-cooled,63.8,101318.0,12778.0,2022,41.24,Boros
Roda4,City Car,1026.3,3,66.4,807.6,Automatic,Bensin,Liquid-cooled,83.5,272997.0,12009.0,2026,17.49,Hemat
Roda2,Sport Besar,386.6,2,41.3,164.3,Manual,Bensin,Liquid-cooled,42.8,78184.0,13683.0,2019,20.34,Boros
Roda2,Matic,155.5,1,15.8,121.2,CVT,Bensin,Liquid-cooled,65.0,187381.0,12652.0,2016,35.0,Boros
Roda2,Sport,206.4,1,24.2,147.6,Manual,Bensin,Liquid-cooled,75.6,213004.0,10618.0,2019,28.0,Boros
Roda2,Sport,194.3,2,23.9,135.5,Manual,Bensin,Liquid-cooled,62.8,220244.0,13705.0,2026,28.81,Boros
Roda4,City Car,1178.9,3,81.3,884.4,Manual,Bensin,Liquid-cooled,43.4,138084.0,13195.0,2024,16.7,Hemat
Roda4,City Car,1427.6,3,102.2,1045.4,Automatic,Bensin,Liquid-cooled,84.5,157042.0,13331.0,2016,13.0,Boros
Roda4,City Car,1364.0,4,98.0,1003.4,CVT,Bensin,Liquid-cooled,35.8,437944.0,10378.0,2016,13.0,Boros
Roda4,SUV,1505.8,4,100.0,1212.2,CVT,Hybrid,Liquid-cooled,71.0,419442.0,14427.0,2019,12.96,Hemat
Roda4,City Car,1024.7,4,66.7,803.6,Manual,Bensin,Liquid-cooled,46.3,272876.0,13405.0,2017,17.34,Hemat
Roda2,Sport,151.8,2,15.0,120.0,Manual,Bensin,Liquid-cooled,38.1,134220.0,12486.0,2021,45.78,Hemat
Roda2,Sport,247.3,2,27.3,169.3,Manual,Bensin,Liquid-cooled,72.8,76780.0,11394.0,2026,28.0,Boros
Roda4,City Car,1302.5,3,91.9,961.1,Manual,Bensin,Liquid-cooled,34.1,470961.0,10551.0,2023,13.0,Boros
Roda4,MPV,1727.4,4,125.7,1398.4,Automatic,Diesel,Liquid-cooled,39.1,326802.0,9096.0,2019,9.0,Boros
Roda4,MPV,1776.8,4,130.0,1474.8,Manual,Diesel,Liquid-cooled,69.4,190544.0,9242.0,2017,9.0,Boros
Roda4,SUV,1703.2,4,113.3,1330.1,Manual,Diesel,Liquid-cooled,41.6,551907.0,7552.0,2016,10.95,Boros
Roda2,Bebek,129.6,1,10.7,102.6,Manual,Bensin,Air-cooled,16.3,290386.0,13148.0,2022,42.0,Boros
Roda2,Sport Besar,296.8,3,28.7,172.2,Manual,Bensin,Liquid-cooled,38.4,103072.0,12453.0,2021,27.08,Hemat
Roda4,SUV,1823.5,4,126.8,1542.4,Automatic,Hybrid,Liquid-cooled,27.7,230953.0,14192.0,2020,9.36,Boros
Roda2,Sport Besar,406.9,2,50.8,191.1,Manual,Bensin,Liquid-cooled,36.9,165396.0,11060.0,2021,16.0,Boros
Roda2,Bebek,145.3,1,11.2,109.0,Manual,Bensin,Air-cooled,26.1,221300.0,13829.0,2017,42.0,Boros
Roda2,Sport,221.3,2,23.3,151.1,Manual,Bensin,Liquid-cooled,53.9,145169.0,13088.0,2015,28.0,Boros
Roda2,Matic,110.2,1,9.1,95.0,CVT,Bensin,Air-cooled,73.1,282501.0,11496.0,2023,57.48,Hemat
Roda4,SUV,1979.7,4,150.0,1600.0,Manual,Diesel,Liquid-cooled,57.5,410961.0,9612.0,2021,8.0,Boros
Roda4,SUV,1684.5,4,126.1,1332.5,CVT,Bensin,Liquid-cooled,41.9,427330.0,10697.0,2019,10.1,Boros
Roda2,Matic,113.1,1,10.3,96.5,CVT,Bensin,Air-cooled,34.3,219951.0,11026.0,2016,41.2,Boros
Roda4,SUV,1770.1,4,122.7,1434.9,CVT,Bensin,Liquid-cooled,19.6,552153.0,13196.0,2022,8.5,Boros
Roda2,Matic,142.2,1,12.4,115.3,CVT,Bensin,Liquid-cooled,71.6,290226.0,13483.0,2015,35.0,Boros
Roda4,MPV,1336.7,4,85.0,1198.6,Manual,Bensin,Liquid-cooled,69.7,197343.0,12154.0,2025,14.92,Hemat
Roda4,City Car,1498.4,4,102.8,1100.0,CVT,Bensin,Liquid-cooled,52.2,510604.0,12859.0,2016,13.0,Boros
Roda2,Bebek,102.1,1,7.0,92.1,Manual,Bensin,Air-cooled,49.0,135683.0,10525.0,2021,58.03,Hemat
Roda2,Matic,149.7,1,14.7,112.6,CVT,Bensin,Air-cooled,58.9,127743.0,10389.0,2020,35.0,Boros
Roda2,Sport,183.9,1,19.7,134.9,Manual,Bensin,Liquid-cooled,20.9,218088.0,10101.0,2021,28.0,Boros
Roda2,Sport,237.0,1,27.8,164.6,Manual,Bensin,Liquid-cooled,53.5,252046.0,11589.0,2026,28.0,Boros
Roda4,MPV,1693.8,4,130.0,1387.9,Automatic,Bensin,Liquid-cooled,46.8,431022.0,12006.0,2017,9.0,Boros
Roda2,Sport,216.4,1,23.5,155.5,Manual,Bensin,Liquid-cooled,10.4,139749.0,12001.0,2020,28.0,Boros
Roda2,Sport Besar,287.6,4,26.6,160.0,Manual,Bensin,Liquid-cooled,38.9,285099.0,12990.0,2018,27.47,Hemat
Roda4,MPV,1360.7,4,89.4,1150.3,Manual,Bensin,Liquid-cooled,49.6,432557.0,10669.0,2026,13.81,Hemat
Roda2,Matic,139.1,1,13.6,114.2,CVT,Bensin,Liquid-cooled,53.7,189677.0,10232.0,2025,35.0,Boros
Roda4,MPV,1562.6,4,110.9,1321.4,CVT,Diesel,Liquid-cooled,25.8,264392.0,7556.0,2026,13.0,Hemat
Roda4,City Car,1156.4,3,77.2,899.9,Automatic,Bensin,Liquid-cooled,29.3,198936.0,13018.0,2021,15.38,Hemat
Roda4,MPV,1459.0,4,95.9,1188.1,Manual,Bensin,Liquid-cooled,67.0,124420.0,10173.0,2019,12.87,Hemat
Roda2,Sport,192.3,1,22.2,147.0,Manual,Bensin,Liquid-cooled,66.6,245741.0,11617.0,2025,28.0,Boros
Roda4,City Car,1105.6,4,72.9,849.6,Manual,Bensin,Liquid-cooled,58.0,534706.0,13776.0,2016,15.36,Hemat
Roda4,City Car,1137.1,4,73.8,957.6,CVT,Bensin,Liquid-cooled,91.1,413058.0,11777.0,2019,14.74,Boros
Roda4,SUV,1747.8,4,128.9,1374.4,DCT,Hybrid,Liquid-cooled,15.7,478690.0,14306.0,2026,12.09,Hemat
Roda2,Matic,123.4,1,10.3,104.2,CVT,Bensin,Air-cooled,31.8,80270.0,13372.0,2019,55.37,Hemat
Roda4,SUV,1868.5,4,135.0,1414.8,CVT,Bensin,Liquid-cooled,38.7,335894.0,12899.0,2023,8.45,Boros
Roda2,Matic,150.8,1,15.4,122.9,CVT,Bensin,Liquid-cooled,13.1,190489.0,11597.0,2021,35.0,Boros
Roda4,SUV,1781.7,4,122.4,1387.3,Manual,Bensin,Liquid-cooled,71.9,363901.0,13017.0,2025,8.75,Boros
Roda4,SUV,1853.5,4,135.8,1475.1,CVT,Diesel,Liquid-cooled,15.2,412833.0,8986.0,2023,8.0,Boros
Roda2,Matic,115.0,1,10.5,95.0,CVT,Bensin,Liquid-cooled,25.1,95851.0,11683.0,2016,47.52,Hemat
Roda4,MPV,1571.2,4,114.2,1288.1,Automatic,Bensin,Liquid-cooled,47.8,406787.0,13363.0,2019,10.61,Boros
Roda2,Sport,161.0,1,15.0,129.0,Manual,Bensin,Liquid-cooled,53.4,216491.0,13049.0,2019,38.2,Hemat
Roda2,Bebek,111.7,1,8.1,92.5,Manual,Bensin,Air-cooled,74.9,154907.0,10197.0,2016,44.4,Boros
Roda2,Sport,213.8,2,27.0,146.6,Manual,Bensin,Liquid-cooled,57.4,215390.0,10457.0,2021,28.0,Boros
Roda4,City Car,1418.1,3,97.5,1100.0,CVT,Bensin,Liquid-cooled,26.2,346076.0,12205.0,2023,13.0,Boros
Roda4,SUV,1670.3,4,121.1,1304.5,Manual,Bensin,Liquid-cooled,39.2,219404.0,10268.0,2024,10.48,Boros
Roda4,MPV,1582.6,4,116.0,1258.9,CVT,Diesel,Liquid-cooled,74.8,231346.0,8418.0,2023,11.76,Boros
Roda4,MPV,1301.2,4,90.1,1130.6,CVT,Diesel,Liquid-cooled,22.9,232084.0,8530.0,2025,16.06,Hemat
Roda2,Matic,149.4,1,13.8,120.6,CVT,Bensin,Air-cooled,15.4,289932.0,13428.0,2023,35.0,Boros
Roda4,City Car,1269.6,3,84.6,954.6,CVT,Bensin,Liquid-cooled,73.6,319847.0,13480.0,2024,13.65,Boros
Roda2,Sport Besar,333.9,2,30.8,169.0,Manual,Bensin,Liquid-cooled,44.3,286534.0,11517.0,2026,22.41,Hemat
Roda2,Bebek,101.7,1,7.0,90.8,Manual,Bensin,Air-cooled,27.7,105056.0,11905.0,2019,60.98,Hemat
Roda4,City Car,1498.3,3,105.0,1077.9,CVT,Bensin,Liquid-cooled,82.0,352986.0,11903.0,2018,13.0,Boros
Roda4,City Car,1275.2,4,91.9,948.2,Automatic,Bensin,Liquid-cooled,80.4,235721.0,10009.0,2020,13.0,Boros
Roda4,SUV,1513.9,4,105.8,1204.7,Automatic,Hybrid,Liquid-cooled,41.3,270296.0,14215.0,2017,15.03,Hemat
